,GEO.display-label,HC03_VC30,HC03_VC31
356,"Levy County, Florida",15.7,0.1
357,"Liberty County, Florida",8.9,0.0
358,"Madison County, Florida",13.8,0.0
359,"Manatee County, Florida",9.7,0.8
360,"Marion County, Florida",10.5,0.2
361,"Martin County, Florida",10.5,0.4
362,"Miami-Dade County, Florida",9.5,5.5
363,"Monroe County, Florida",8.5,1.4
364,"Nassau County, Florida",9.7,0.2
365,"Okaloosa County, Florida",11.7,0.4
366,"Okeechobee County, Florida",18.4,4.2
367,"Orange County, Florida",10.3,2.5
368,"Osceola County, Florida",10.7,1.4
369,"Palm Beach County, Florida",11.2,1.5
370,"Pasco County, Florida",10.3,0.4
371,"Pinellas County, Florida",8.5,1.7
372,"Polk County, Florida",11.7,0.5
373,"Putnam County, Florida",12.0,0.0
374,"St. Johns County, Florida",7.5,0.3
375,"St. Lucie County, Florida",10.9,0.4
376,"Santa Rosa County, Florida",12.7,0.4
377,"Sarasota County, Florida",9.4,0.9
378,"Seminole County, Florida",7.8,0.5
379,"Sumter County, Florida",10.8,0.4
380,"Suwannee County, Florida",16.8,0.3
381,"Taylor County, Florida",11.9,0.2
382,"Union County, Florida",12.1,0.0
383,"Volusia County, Florida",8.5,0.9
384,"Wakulla County, Florida",13.5,0.0
385,"Walton County, Florida",13.2,0.1
386,"Washington County, Florida",14.1,0.1
387,"Appling County, Georgia",12.4,0.2
388,"Atkinson County, Georgia",13.6,0.0
389,"Bacon County, Georgia",13.0,0.4
390,"Baker County, Georgia",7.1,4.6
391,"Baldwin County, Georgia",12.4,0.2
392,"Banks County, Georgia",12.8,0.4
393,"Barrow County, Georgia",12.2,0.2
394,"Bartow County, Georgia",8.3,0.4
395,"Ben Hill County, Georgia",18.4,0.9
396,"Berrien County, Georgia",10.0,0.4
397,"Bibb County, Georgia",10.8,1.3
398,"Bleckley County, Georgia",11.8,0.3
399,"Brantley County, Georgia",13.1,0.6
400,"Brooks County, Georgia",13.6,0.0
401,"Bryan County, Georgia",9.1,0.3
402,"Bulloch County, Georgia",13.1,1.0
403,"Burke County, Georgia",11.8,1.3
404,"Butts County, Georgia",14.7,0.4
405,"Calhoun County, Georgia",16.4,24.1
406,"Camden County, Georgia",10.0,0.3
407,"Candler County, Georgia",16.1,0.8
408,"Carroll County, Georgia",12.9,0.3
409,"Catoosa County, Georgia",9.6,0.4
410,"Charlton County, Georgia",13.8,0.0
411,"Chatham County, Georgia",10.8,2.6
412,"Chattahoochee County, Georgia",6.0,0.7
413,"Chattooga County, Georgia",6.1,1.1
414,"Cherokee County, Georgia",10.9,0.5
415,"Clarke County, Georgia",11.4,3.6
416,"Clay County, Georgia",13.6,0.0
417,"Clayton County, Georgia",15.5,3.5
418,"Clinch County, Georgia",3.6,0.0
419,"Cobb County, Georgia",9.7,1.6
420,"Coffee County, Georgia",11.0,0.3
421,"Colquitt County, Georgia",20.8,1.2
422,"Columbia County, Georgia",10.1,0.1
423,"Cook County, Georgia",17.7,0.1
424,"Coweta County, Georgia",12.2,1.0
425,"Crawford County, Georgia",16.2,0.0
426,"Crisp County, Georgia",16.4,0.6
427,"Dade County, Georgia",10.3,0.8
428,"Dawson County, Georgia",11.2,0.3
429,"Decatur County, Georgia",9.6,0.9
430,"DeKalb County, Georgia",10.2,8.2
431,"Dodge County, Georgia",7.4,0.6
432,"Dooly County, Georgia",7.6,0.0
433,"Dougherty County, Georgia",14.2,1.3
434,"Douglas County, Georgia",11.4,1.5
435,"Early County, Georgia",4.8,1.4
436,"Echols County, Georgia",16.7,6.3
437,"Effingham County, Georgia",11.8,0.6
438,"Elbert County, Georgia",13.2,0.0
439,"Emanuel County, Georgia",10.9,0.2
440,"Evans County, Georgia",10.5,0.0
441,"Fannin County, Georgia",13.1,1.3
442,"Fayette County, Georgia",8.6,0.8
443,"Floyd County, Georgia",13.0,0.6
444,"Forsyth County, Georgia",9.4,0.7
445,"Franklin County, Georgia",9.8,0.0
446,"Fulton County, Georgia",8.4,8.0
447,"Gilmer County, Georgia",18.5,0.0
448,"Glascock County, Georgia",14.6,0.3
449,"Glynn County, Georgia",10.3,0.6
450,"Gordon County, Georgia",9.9,0.4
451,"Grady County, Georgia",11.9,0.5
452,"Greene County, Georgia",12.8,0.7
453,"Gwinnett County, Georgia",12.1,1.2
454,"Habersham County, Georgia",11.4,0.1
455,"Hall County, Georgia",13.8,0.3
456,"Hancock County, Georgia",20.0,10.3
457,"Haralson County, Georgia",16.8,0.2
458,"Harris County, Georgia",10.2,0.2
459,"Hart County, Georgia",10.5,0.1
460,"Heard County, Georgia",15.4,0.0
461,"Henry County, Georgia",11.0,1.2
462,"Houston County, Georgia",12.5,0.2
463,"Irwin County, Georgia",19.4,0.7
464,"Jackson County, Georgia",10.1,0.1
465,"Jasper County, Georgia",20.5,0.6
466,"Jeff Davis County, Georgia",13.4,0.0
467,"Jefferson County, Georgia",12.3,0.2
468,"Jenkins County, Georgia",16.7,0.6
469,"Johnson County, Georgia",10.6,0.0
470,"Jones County, Georgia",10.2,0.6
471,"Lamar County, Georgia",15.1,0.0
472,"Lanier County, Georgia",11.7,0.0
473,"Laurens County, Georgia",8.3,0.1
474,"Lee County, Georgia",13.4,0.3
475,"Liberty County, Georgia",10.4,0.4
476,"Lincoln County, Georgia",18.4,0.1
477,"Long County, Georgia",16.1,0.0
478,"Lowndes County, Georgia",10.6,0.4
479,"Lumpkin County, Georgia",11.1,0.2
480,"McDuffie County, Georgia",11.9,0.3
481,"McIntosh County, Georgia",14.8,0.7
482,"Macon County, Georgia",13.2,0.7
483,"Madison County, Georgia",12.7,0.0
484,"Marion County, Georgia",14.7,1.3
485,"Meriwether County, Georgia",15.6,0.2
486,"Miller County, Georgia",12.3,0.0
487,"Mitchell County, Georgia",10.6,0.4
488,"Monroe County, Georgia",10.8,0.2
489,"Montgomery County, Georgia",9.2,0.0
490,"Morgan County, Georgia",8.6,1.3
491,"Murray County, Georgia",9.3,0.1
492,"Muscogee County, Georgia",9.0,0.9
493,"Newton County, Georgia",11.7,0.8
494,"Oconee County, Georgia",7.8,0.2
495,"Oglethorpe County, Georgia",17.1,0.0
496,"Paulding County, Georgia",10.0,0.8
497,"Peach County, Georgia",15.9,0.0
498,"Pickens County, Georgia",10.6,0.5
499,"Pierce County, Georgia",7.6,0.0
500,"Pike County, Georgia",14.5,0.0
501,"Polk County, Georgia",14.9,0.6
502,"Pulaski County, Georgia",11.7,0.0
503,"Putnam County, Georgia",10.3,1.3
504,"Quitman County, Georgia",32.8,0.0
505,"Rabun County, Georgia",10.5,1.3
506,"Randolph County, Georgia",15.4,0.0
507,"Richmond County, Georgia",12.1,1.6
508,"Rockdale County, Georgia",12.9,1.3
509,"Schley County, Georgia",18.1,1.3
510,"Screven County, Georgia",14.7,0.2
511,"Seminole County, Georgia",8.0,0.9
512,"Spalding County, Georgia",16.1,0.9
513,"Stephens County, Georgia",13.7,0.0
514,"Stewart County, Georgia",26.8,0.0
515,"Sumter County, Georgia",18.2,0.2
516,"Talbot County, Georgia",11.5,0.4
517,"Taliaferro County, Georgia",6.0,0.0
518,"Tattnall County, Georgia",10.8,0.1
519,"Taylor County, Georgia",14.3,0.0
520,"Telfair County, Georgia",6.2,0.3
521,"Terrell County, Georgia",13.0,0.0
522,"Thomas County, Georgia",11.8,0.1
523,"Tift County, Georgia",14.3,2.1
524,"Toombs County, Georgia",9.5,0.2
525,"Towns County, Georgia",11.8,0.0
526,"Treutlen County, Georgia",10.4,1.0
527,"Troup County, Georgia",10.8,0.2
528,"Turner County, Georgia",11.1,0.0
529,"Twiggs County, Georgia",9.5,0.0
530,"Union County, Georgia",11.0,0.0
531,"Upson County, Georgia",13.8,0.0
532,"Walker County, Georgia",13.2,0.3
533,"Walton County, Georgia",12.0,0.3
534,"Ware County, Georgia",16.1,0.0
535,"Warren County, Georgia",12.3,0.5
536,"Washington County, Georgia",8.8,0.5
537,"Wayne County, Georgia",13.9,0.4
538,"Webster County, Georgia",18.8,0.0
539,"Wheeler County, Georgia",12.2,0.0
540,"White County, Georgia",8.4,0.5
541,"Whitfield County, Georgia",12.8,0.2
542,"Wilcox County, Georgia",12.9,0.0
543,"Wilkes County, Georgia",17.7,0.9
544,"Wilkinson County, Georgia",5.5,0.0
545,"Worth County, Georgia",17.7,0.8
546,"Hawaii County, Hawaii",16.6,1.5
547,"Honolulu County, Hawaii",15.6,7.9
548,"Kalawao County, Hawaii",0.0,0.0
549,"Kauai County, Hawaii",12.1,0.4
550,"Maui County, Hawaii",14.7,1.7
551,"Ada County, Idaho",8.7,0.6
552,"Adams County, Idaho",16.4,0.0
553,"Bannock County, Idaho",11.4,1.3
554,"Bear Lake County, Idaho",18.3,0.2
555,"Benewah County, Idaho",5.9,1.1
556,"Bingham County, Idaho",13.8,2.1
557,"Blaine County, Idaho",10.9,2.0
558,"Boise County, Idaho",15.5,0.2
559,"Bonner County, Idaho",14.0,0.4
560,"Bonneville County, Idaho",13.8,3.6
561,"Boundary County, Idaho",13.5,0.0
562,"Butte County, Idaho",16.8,4.1
563,"Camas County, Idaho",9.1,0.0
564,"Canyon County, Idaho",12.1,0.4
565,"Caribou County, Idaho",14.0,0.0
566,"Cassia County, Idaho",11.7,0.0
567,"Clark County, Idaho",11.8,0.0
568,"Clearwater County, Idaho",12.9,0.0
569,"Custer County, Idaho",21.7,1.4
570,"Elmore County, Idaho",13.3,0.3
571,"Franklin County, Idaho",13.0,0.8
572,"Fremont County, Idaho",18.7,1.6
573,"Gem County, Idaho",16.7,0.2
574,"Gooding County, Idaho",9.0,0.3
575,"Idaho County, Idaho",13.0,1.1
576,"Jefferson County, Idaho",13.2,3.3
577,"Jerome County, Idaho",7.6,0.0
578,"Kootenai County, Idaho",10.5,0.6
579,"Latah County, Idaho",13.7,0.8
580,"Lemhi County, Idaho",15.2,0.0
581,"Lewis County, Idaho",8.5,0.3
582,"Lincoln County, Idaho",16.2,2.8
583,"Madison County, Idaho",16.9,0.9
584,"Minidoka County, Idaho",12.9,0.1
585,"Nez Perce County, Idaho",10.4,0.4
586,"Oneida County, Idaho",13.2,0.0
587,"Owyhee County, Idaho",11.7,0.4
588,"Payette County, Idaho",13.3,0.0
589,"Power County, Idaho",16.5,0.6
590,"Shoshone County, Idaho",9.3,0.3
591,"Teton County, Idaho",18.8,2.3
592,"Twin Falls County, Idaho",9.6,0.4
593,"Valley County, Idaho",11.0,1.1
594,"Washington County, Idaho",9.7,0.0
595,"Adams County, Illinois",9.2,0.7
596,"Alexander County, Illinois",7.4,0.8
597,"Bond County, Illinois",6.3,0.2
598,"Boone County, Illinois",9.1,0.2
599,"Brown County, Illinois",4.1,0.0
600,"Bureau County, Illinois",9.5,0.2
601,"Calhoun County, Illinois",13.7,0.0
602,"Carroll County, Illinois",10.9,0.8
603,"Cass County, Illinois",20.3,0.3
604,"Champaign County, Illinois",9.0,5.6
605,"Christian County, Illinois",9.5,0.2
606,"Clark County, Illinois",9.3,0.1
607,"Clay County, Illinois",9.1,0.1
608,"Clinton County, Illinois",10.3,0.8
609,"Coles County, Illinois",10.0,0.5
610,"Cook County, Illinois",9.5,17.7
611,"Crawford County, Illinois",10.1,0.2
612,"Cumberland County, Illinois",12.4,0.0
613,"DeKalb County, Illinois",8.7,2.2
614,"De Witt County, Illinois",9.9,0.1
615,"Douglas County, Illinois",14.2,0.0
616,"DuPage County, Illinois",7.3,6.5
617,"Edgar County, Illinois",10.7,0.1
618,"Edwards County, Illinois",10.2,0.1
619,"Effingham County, Illinois",8.2,0.3
620,"Fayette County, Illinois",11.0,1.1
621,"Ford County, Illinois",13.8,0.1
622,"Franklin County, Illinois",8.7,0.1
623,"Fulton County, Illinois",11.0,0.1
624,"Gallatin County, Illinois",8.7,0.5
625,"Greene County, Illinois",15.6,0.0
626,"Grundy County, Illinois",9.1,0.6
627,"Hamilton County, Illinois",10.6,0.0
628,"Hancock County, Illinois",9.4,0.1
