,GEO.display-label,HC03_VC30,HC03_VC31,HC03_VC32
375,"St. Johns County, Florida",0.2,1.0,2.4
376,"St. Lucie County, Florida",0.5,0.9,2.0
377,"Santa Rosa County, Florida",0.1,0.4,1.3
378,"Sarasota County, Florida",0.8,1.0,2.4
379,"Seminole County, Florida",0.6,0.8,1.8
380,"Sumter County, Florida",0.6,1.3,6.7
381,"Suwannee County, Florida",0.2,1.0,2.4
382,"Taylor County, Florida",0.1,1.1,1.3
383,"Union County, Florida",0.6,2.4,0.1
384,"Volusia County, Florida",0.9,1.3,2.9
385,"Wakulla County, Florida",0.1,0.5,1.0
386,"Walton County, Florida",0.0,0.8,3.2
387,"Washington County, Florida",0.4,1.0,2.9
388,"Appling County, Georgia",0.3,1.9,2.2
389,"Atkinson County, Georgia",0.3,1.5,0.8
390,"Bacon County, Georgia",0.8,2.0,0.0
391,"Baker County, Georgia",1.0,1.0,2.6
392,"Baldwin County, Georgia",0.1,2.8,2.0
393,"Banks County, Georgia",0.4,1.6,0.8
394,"Barrow County, Georgia",0.1,0.5,1.2
395,"Bartow County, Georgia",0.7,0.6,1.9
396,"Ben Hill County, Georgia",0.0,1.5,2.4
397,"Berrien County, Georgia",0.3,2.6,1.7
398,"Bibb County, Georgia",1.0,1.9,2.2
399,"Bleckley County, Georgia",0.4,2.5,0.7
400,"Brantley County, Georgia",1.6,1.0,1.1
401,"Brooks County, Georgia",0.3,0.6,1.4
402,"Bryan County, Georgia",0.0,2.0,2.1
403,"Bulloch County, Georgia",0.9,2.5,1.5
404,"Burke County, Georgia",0.4,1.0,1.1
405,"Butts County, Georgia",0.0,1.1,0.9
406,"Calhoun County, Georgia",2.8,24.5,0.8
407,"Camden County, Georgia",0.2,2.6,2.3
408,"Candler County, Georgia",0.1,1.2,2.5
409,"Carroll County, Georgia",0.5,1.3,1.2
410,"Catoosa County, Georgia",0.3,0.6,1.2
411,"Charlton County, Georgia",0.3,0.9,2.7
412,"Chatham County, Georgia",2.6,2.4,2.4
413,"Chattahoochee County, Georgia",0.3,11.2,1.6
414,"Chattooga County, Georgia",0.5,1.4,0.6
415,"Cherokee County, Georgia",0.4,0.9,1.9
416,"Clarke County, Georgia",4.1,4.2,2.8
417,"Clay County, Georgia",0.6,0.1,0.6
418,"Clayton County, Georgia",2.3,1.4,2.2
419,"Clinch County, Georgia",0.1,0.9,3.6
420,"Cobb County, Georgia",1.3,1.2,1.8
421,"Coffee County, Georgia",0.6,0.9,2.7
422,"Colquitt County, Georgia",1.3,2.9,1.1
423,"Columbia County, Georgia",0.1,0.7,0.7
424,"Cook County, Georgia",0.0,1.4,1.3
425,"Coweta County, Georgia",0.7,0.2,1.5
426,"Crawford County, Georgia",1.2,0.9,0.7
427,"Crisp County, Georgia",0.0,0.4,2.2
428,"Dade County, Georgia",0.2,5.2,0.4
429,"Dawson County, Georgia",0.1,0.3,0.6
430,"Decatur County, Georgia",1.2,0.6,5.8
431,"DeKalb County, Georgia",8.1,1.8,1.5
432,"Dodge County, Georgia",0.3,1.1,5.9
433,"Dooly County, Georgia",0.1,1.5,4.2
434,"Dougherty County, Georgia",1.9,2.6,0.9
435,"Douglas County, Georgia",0.9,1.0,1.4
436,"Early County, Georgia",0.2,0.4,2.6
437,"Echols County, Georgia",1.1,1.6,3.3
438,"Effingham County, Georgia",0.1,0.5,0.8
439,"Elbert County, Georgia",0.4,1.1,0.2
440,"Emanuel County, Georgia",1.3,1.4,4.1
441,"Evans County, Georgia",0.3,2.0,7.6
442,"Fannin County, Georgia",0.0,1.7,2.0
443,"Fayette County, Georgia",1.1,0.7,1.7
444,"Floyd County, Georgia",0.3,3.1,1.8
445,"Forsyth County, Georgia",0.5,0.7,1.0
446,"Franklin County, Georgia",0.0,3.0,1.1
447,"Fulton County, Georgia",7.0,2.8,1.4
448,"Gilmer County, Georgia",0.2,0.6,2.0
449,"Glascock County, Georgia",1.0,0.4,1.0
450,"Glynn County, Georgia",0.3,1.5,2.1
451,"Gordon County, Georgia",0.5,1.0,2.9
452,"Grady County, Georgia",0.1,0.7,1.5
453,"Greene County, Georgia",0.2,1.3,3.1
454,"Gwinnett County, Georgia",1.1,1.0,1.3
455,"Habersham County, Georgia",0.5,2.0,1.7
456,"Hall County, Georgia",0.3,0.9,2.1
457,"Hancock County, Georgia",0.8,1.7,0.7
458,"Haralson County, Georgia",0.1,1.6,0.8
459,"Harris County, Georgia",0.2,0.8,1.3
460,"Hart County, Georgia",0.0,1.2,0.5
461,"Heard County, Georgia",0.0,0.5,0.7
462,"Henry County, Georgia",1.1,0.7,1.2
463,"Houston County, Georgia",0.1,0.5,1.4
464,"Irwin County, Georgia",0.0,0.5,0.6
465,"Jackson County, Georgia",0.2,0.5,0.9
466,"Jasper County, Georgia",0.1,0.6,1.4
467,"Jeff Davis County, Georgia",0.1,1.2,1.4
468,"Jefferson County, Georgia",0.6,2.9,0.5
469,"Jenkins County, Georgia",0.0,2.0,0.0
470,"Johnson County, Georgia",0.3,2.3,6.1
471,"Jones County, Georgia",0.3,0.9,0.2
472,"Lamar County, Georgia",0.1,1.3,1.4
473,"Lanier County, Georgia",0.1,0.6,2.7
474,"Laurens County, Georgia",0.2,1.5,1.1
475,"Lee County, Georgia",0.1,0.0,0.6
476,"Liberty County, Georgia",0.2,4.1,2.1
477,"Lincoln County, Georgia",1.0,0.6,1.5
478,"Long County, Georgia",0.5,0.9,6.1
479,"Lowndes County, Georgia",0.3,1.7,2.3
480,"Lumpkin County, Georgia",0.0,3.6,1.6
481,"McDuffie County, Georgia",0.0,0.5,3.7
482,"McIntosh County, Georgia",0.0,1.2,0.0
483,"Macon County, Georgia",1.8,2.3,3.7
484,"Madison County, Georgia",0.2,0.5,0.9
485,"Marion County, Georgia",0.3,0.9,3.3
486,"Meriwether County, Georgia",0.7,2.6,0.8
487,"Miller County, Georgia",0.8,2.8,2.1
488,"Mitchell County, Georgia",0.3,3.0,1.2
489,"Monroe County, Georgia",0.4,1.0,1.0
490,"Montgomery County, Georgia",0.3,1.5,2.9
491,"Morgan County, Georgia",0.4,0.9,1.2
492,"Murray County, Georgia",0.2,1.3,1.0
493,"Muscogee County, Georgia",1.2,1.1,1.7
494,"Newton County, Georgia",0.7,0.9,0.8
495,"Oconee County, Georgia",0.3,0.4,0.9
496,"Oglethorpe County, Georgia",0.2,1.4,1.7
497,"Paulding County, Georgia",0.5,0.4,0.5
498,"Peach County, Georgia",1.8,3.0,0.9
499,"Pickens County, Georgia",0.0,1.4,0.9
500,"Pierce County, Georgia",0.2,0.3,1.2
501,"Pike County, Georgia",0.2,0.5,0.5
502,"Polk County, Georgia",0.4,1.0,1.5
503,"Pulaski County, Georgia",0.0,5.1,0.2
504,"Putnam County, Georgia",0.3,1.0,2.3
505,"Quitman County, Georgia",0.0,1.0,5.4
506,"Rabun County, Georgia",1.3,2.7,0.8
